,created_at,content,text,topic,gamma
11,35:15.0,"Andrew McKenna will not be invited to join the Trump Administration as Secretary of the Air Force, or anything else. That is Fake News put out by Politico!","Andrew McKenna will not be invited to join the Trump Administration as Secretary of the Air Force, or anything else. That is Fake News put out by Politico!",2,0.502270427
12,43:37.9,"The Polls from the Fake News are, like the News itself, FAKE! We are doing GREAT, better than ever before.","The Polls from the Fake News are, like the News itself, FAKE! We are doing GREAT, better than ever before.",2,0.969766738
13,32:32.8,"We don't have a Free and Fair ""Press""in this Country anymore. We have a Press that writes BAD STORIES, and CHEATS, BIG, ON POLLS. IT IS COMPROMISED AND CORRUPT. SAD!","We don't have a Free and Fair ""Press""in this Country anymore. We have a Press that writes BAD STORIES, and CHEATS, BIG, ON POLLS. IT IS COMPROMISED AND CORRUPT. SAD!",2,0.982740126
14,29:54.0,"I never falsified business records. It is a fake, made up charge by a corrupt judge who is just doing the work of the Biden/Harris Injustice Department, an attack on their political opponent, ME! He created a case where there was none. Keeps a “gag order” on me so that I can’t talk about how crooked he is. The Fake News knows all about it, but they refuse to talk. He may be the most conflicted judge in New York State history. The accountant testified, with total corroboration, that the records were perfect &amp; totally above board. A legal expense was called, on the books, a legal expense. There was nothing else it could have been called. This was the so-called falsifying of records. I was hiding nothing, everything was out in the open for all to see. Every legal scholar of note said there IS NO CASE AGAINST ME. The judge should be disbarred! This is why people, and companies, are FLEEING New York - A corrupt court system. In another crooked New York case, another corrupt Judge (overturned 5 times on my case alone, &amp; the most overturned judge in New York!) valued Mar-a-Lago, in Palm Beach, Florida, at $18,000,000, when it is worth 50 to 100 times that amount….And then we have, also in New York, the woman I never met (celebrity photo lines from 30 years ago don’t count!), who was awarded almost $100,000,000. A totally out of control, Trump hating judge, presided. The Biden/Harris DOJ was involved, directly or indirectly, in each of these cases. I won against Deranged Jack Smith!","I never falsified business records. It is a fake, made up charge by a corrupt judge who is just doing the work of the Biden/Harris Injustice Department, an attack on their political opponent, ME! He created a case where there was none. Keeps a “gag order” on me so that I can’t talk about how crooked he is. The Fake News knows all about it, but they refuse to talk. He may be the most conflicted judge in New York State history. The accountant testified, with total corroboration, that the records were perfect &amp; totally above board. A legal expense was called, on the books, a legal expense. There was nothing else it could have been called. This was the so-called falsifying of records. I was hiding nothing, everything was out in the open for all to see. Every legal scholar of note said there IS NO CASE AGAINST ME. The judge should be disbarred! This is why people, and companies, are FLEEING New York - A corrupt court system. In another crooked New York case, another corrupt Judge (overturned 5 times on my case alone, &amp; the most overturned judge in New York!) valued Mar-a-Lago, in Palm Beach, Florida, at $18,000,000, when it is worth 50 to 100 times that amount….And then we have, also in New York, the woman I never met (celebrity photo lines from 30 years ago don’t count!), who was awarded almost $100,000,000. A totally out of control, Trump hating judge, presided. The Biden/Harris DOJ was involved, directly or indirectly, in each of these cases. I won against Deranged Jack Smith!",2,0.997978955
15,24:31.5,"Great Pollster John McLaughlin, one of the most highly respected in the industry, has just stated that The Failing New York Times Poll, and the ABC/Washington Post Poll, about a person named DONALD J. TRUMP, ME, are FAKE POLLS FROM FAKE NEWS ORGANIZATIONS. The New York Times has only 37% Trump 2024 voters, and the ABC/Washington Post Poll has only 34% Trump Voters, unheard of numbers unless looking for a negative result, which they are. These people should be investigated for ELECTION FRAUD, and add in the FoxNews Pollster while you're at it. They are Negative Criminals who apologize to their subscribers and readers after I WIN ELECTIONS BIG, much bigger than their polls showed I would win, loose a lot of credibility, and then go on cheating and lying for the next cycle, only worse. They suffer from Trump Derangement Syndrome, and there is nothing that anyone, or anything, can do about it. THEY ARE SICK, almost only write negative stories about me no matter how well I am doing (99.9% at the Border, BEST NUMBER EVER!), AND ARE TRULY THE ENEMY OF THE PEOPLE! I wish them well, but will continue to fight to, MAKE AMERICA GREAT AGAIN!","Great Pollster John McLaughlin, one of the most highly respected in the industry, has just stated that The Failing New York Times Poll, and the ABC/Washington Post Poll, about a person named DONALD J. TRUMP, ME, are FAKE POLLS FROM FAKE NEWS ORGANIZATIONS. The New York Times has only 37% Trump 2024 voters, and the ABC/Washington Post Poll has only 34% Trump Voters, unheard of numbers unless looking for a negative result, which they are. These people should be investigated for ELECTION FRAUD, and add in the FoxNews Pollster while you're at it. They are Negative Criminals who apologize to their subscribers and readers after I WIN ELECTIONS BIG, much bigger than their polls showed I would win, loose a lot of credibility, and then go on cheating and lying for the next cycle, only worse. They suffer from Trump Derangement Syndrome, and there is nothing that anyone, or anything, can do about it. THEY ARE SICK, almost only write negative stories about me no matter how well I am doing (99.9% at the Border, BEST NUMBER EVER!), AND ARE TRULY THE ENEMY OF THE PEOPLE! I wish them well, but will continue to fight to, MAKE AMERICA GREAT AGAIN!",2,0.452191513
16,38:32.1,So sad how people have been tormented by this horrible group!,So sad how people have been tormented by this horrible group!,2,0.947004334
17,44:03.2,"Senator Chris Van Hollen of Maryland looked like a fool yesterday standing in El Salvador begging for attention from the Fake News Media, or anyone. GRANDSTANDER!!!","Senator Chris Van Hollen of Maryland looked like a fool yesterday standing in El Salvador begging for attention from the Fake News Media, or anyone. GRANDSTANDER!!!",2,0.640062622
18,27:44.4,WE HAVE A GREAT MILITARY...OUR COUNTRY IS BACK WE'RE REALLY BACK!,WE HAVE A GREAT MILITARY...OUR COUNTRY IS BACK WE'RE REALLY BACK!,2,0.955399233
19,44:28.2,"I am totally convinced that if Russia raised their hands and said, ""We give up, we concede, we surrender, we will GIVE Ukraine and the great United States of America, the most revered, respected, and powerful of all countries, EVER, Moscow and St. Petersburg, and everything surrounding them for a thousand miles, the Fake News Media and their Democrat Partners would say that this was a bad and humiliating day for Donald J. Trump, one of the worst days in the history of our Country.""But that's why they are the FAKE NEWS, and the badly failing Radical Left Democrats. Thank you for your attention to this matter!!!","I am totally convinced that if Russia raised their hands and said, ""We give up, we concede, we surrender, we will GIVE Ukraine and the great United States of America, the most revered, respected, and powerful of all countries, EVER, Moscow and St. Petersburg, and everything surrounding them for a thousand miles, the Fake News Media and their Democrat Partners would say that this was a bad and humiliating day for Donald J. Trump, one of the worst days in the history of our Country.""But that's why they are the FAKE NEWS, and the badly failing Radical Left Democrats. Thank you for your attention to this matter!!!",2,0.832000311
20,41:24.0,"Whatever happened to the very highly overrated David Letterman, whose ratings were never very good, either. He looks like hell, but at least he knew when to quit. LOSER!!!","Whatever happened to the very highly overrated David Letterman, whose ratings were never very good, either. He looks like hell, but at least he knew when to quit. LOSER!!!",2,0.984625129
21,25:17.7,"I am proud to announce that, after much consideration and negotiation, US Steel will REMAIN in America, and keep its Headquarters in the Great City of Pittsburgh. For many years, the name, ""United States Steel""was synonymous with Greatness, and now, it will be again. This will be a planned partnership between United States Steel and Nippon Steel, which will create at least 70,000 jobs, and add $14 Billion Dollars to the U.S. Economy. The bulk of that Investment will occur in the next 14 months. This is the largest Investment in the History of the Commonwealth of Pennsylvania. My Tariff Policies will ensure that Steel will once again be, forever, MADE IN AMERICA. From Pennsylvania to Arkansas, and from Minnesota to Indiana, AMERICAN MADE is BACK. I will see you all at US Steel, in Pittsburgh, on Friday, May 30th, for a BIG Rally. CONGRATULATIONS TO ALL!","I am proud to announce that, after much consideration and negotiation, US Steel will REMAIN in America, and keep its Headquarters in the Great City of Pittsburgh. For many years, the name, ""United States Steel""was synonymous with Greatness, and now, it will be again. This will be a planned partnership between United States Steel and Nippon Steel, which will create at least 70,000 jobs, and add $14 Billion Dollars to the U.S. Economy. The bulk of that Investment will occur in the next 14 months. This is the largest Investment in the History of the Commonwealth of Pennsylvania. My Tariff Policies will ensure that Steel will once again be, forever, MADE IN AMERICA. From Pennsylvania to Arkansas, and from Minnesota to Indiana, AMERICAN MADE is BACK. I will see you all at US Steel, in Pittsburgh, on Friday, May 30th, for a BIG Rally. CONGRATULATIONS TO ALL!",3,0.547370181
22,34:12.1,"On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!For purposes of this United States Policy, we will consider Countries that use the VAT System, which is far more punitive than a Tariff, to be similar to that of a Tariff. Sending merchandise, product, or anything by any other name through another Country, for purposes of unfairly harming America, will not be accepted. In addition, we will make provision for subsidies provided by Countries in order to take Economic advantage of the United States. Likewise, provisions will be made for Nonmonetary Tariffs and Trade Barriers that some Countries charge in order to keep our product out of their domain or, if they do not even let U.S. businesses operate. We are able to accurately determine the cost of these Nonmonetary Trade Barriers. It is fair to all, no other Country can complain and, in some cases, if a Country feels that the United States would be getting too high a Tariff, all they have to do is reduce or terminate their Tariff against us. There are no Tariffs if you manufacture or build your product in the United States.For many years, the U.S. has been treated unfairly by other Countries, both friend and foe. This System will immediately bring Fairness and Prosperity back into the previously complex and unfair System of Trade. America has helped many Countries throughout the years, at great financial cost. It is now time that these Countries remember this, and treat us fairly – A LEVEL PLAYING FIELD FOR AMERICAN WORKERS. I have instructed my Secretary of State, Secretary of Commerce, Secretary of the Treasury, and United States Trade Representative (USTR) to do all work necessary to deliver RECIPROCITY to our System of Trade!","On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!For purposes of this United States Policy, we will consider Countries that use the VAT System, which is far more punitive than a Tariff, to be similar to that of a Tariff. Sending merchandise, product, or anything by any other name through another Country, for purposes of unfairly harming America, will not be accepted. In addition, we will make provision for subsidies provided by Countries in order to take Economic advantage of the United States. Likewise, provisions will be made for Nonmonetary Tariffs and Trade Barriers that some Countries charge in order to keep our product out of their domain or, if they do not even let U.S. businesses operate. We are able to accurately determine the cost of these Nonmonetary Trade Barriers. It is fair to all, no other Country can complain and, in some cases, if a Country feels that the United States would be getting too high a Tariff, all they have to do is reduce or terminate their Tariff against us. There are no Tariffs if you manufacture or build your product in the United States.For many years, the U.S. has been treated unfairly by other Countries, both friend and foe. This System will immediately bring Fairness and Prosperity back into the previously complex and unfair System of Trade. America has helped many Countries throughout the years, at great financial cost. It is now time that these Countries remember this, and treat us fairly – A LEVEL PLAYING FIELD FOR AMERICAN WORKERS. I have instructed my Secretary of State, Secretary of Commerce, Secretary of the Treasury, and United States Trade Representative (USTR) to do all work necessary to deliver RECIPROCITY to our System of Trade!",3,0.998275962
23,26:36.6,"April 2nd, ""LIBERATION DAY IN AMERICA!""","April 2nd, ""LIBERATION DAY IN AMERICA!""",3,0.947004334
24,09:42.0,"This morning I finalized an important Deal with the Republic of Indonesia after speaking with their Highly Respected President Prabowo Subianto. This landmark Deal opens up Indonesia's ENTIRE MARKET to the United States for the first time in History. As part of the Agreement, Indonesia has committed to purchasing $15 Billion Dollars in U.S. Energy, $4.5 Billion Dollars in American Agricultural Products, and 50 Boeing Jets, many of them 777's. For the first time ever, our Ranchers, Farmers, and Fishermen will have Complete and Total Access to the Indonesian Market of over 280 million people. In addition, Indonesia will pay the United States a 19% Tariff on all Goods they export to us, while U.S. Exports to Indonesia are to be Tariff and Non Tariff Barrier FREE. If there is any Transshipment from a higher Tariff Country, then that Tariff will be added on to the Tariff that Indonesia is paying. Thank you to the People of Indonesia for your friendship and commitment to balancing our Trade Deficit. We will keep DELIVERING for the American People, and the People of Indonesia!","This morning I finalized an important Deal with the Republic of Indonesia after speaking with their Highly Respected President Prabowo Subianto. This landmark Deal opens up Indonesia's ENTIRE MARKET to the United States for the first time in History. As part of the Agreement, Indonesia has committed to purchasing $15 Billion Dollars in U.S. Energy, $4.5 Billion Dollars in American Agricultural Products, and 50 Boeing Jets, many of them 777's. For the first time ever, our Ranchers, Farmers, and Fishermen will have Complete and Total Access to the Indonesian Market of over 280 million people. In addition, Indonesia will pay the United States a 19% Tariff on all Goods they export to us, while U.S. Exports to Indonesia are to be Tariff and Non Tariff Barrier FREE. If there is any Transshipment from a higher Tariff Country, then that Tariff will be added on to the Tariff that Indonesia is paying. Thank you to the People of Indonesia for your friendship and commitment to balancing our Trade Deficit. We will keep DELIVERING for the American People, and the People of Indonesia!",3,0.937530428
25,39:43.0,"""A DAY LATE AND A DOLLAR SHORT ...""","""A DAY LATE AND A DOLLAR SHORT ...""",3,0.934716458
26,19:01.8,"The reason that The Wall Street Journal Editorial Board is always negative on ""TRUMP,""and the Hundreds of Billions of Dollars we're bringing into our Country through Tariffs, numbers that the U.S.A. has never seen before, is because they are China centric or, at a minimum, Globalists, and they would rather see China and the World, for reasons unknown, ""WIN, BABY, WIN.""If the United States were not able to charge Tariffs to other Countries, it would be Economically defenseless and, of no further force or effect. The only thing that can destroy our Country are Crooked, Radical Left Judges, of which there are many!","The reason that The Wall Street Journal Editorial Board is always negative on ""TRUMP,""and the Hundreds of Billions of Dollars we're bringing into our Country through Tariffs, numbers that the U.S.A. has never seen before, is because they are China centric or, at a minimum, Globalists, and they would rather see China and the World, for reasons unknown, ""WIN, BABY, WIN.""If the United States were not able to charge Tariffs to other Countries, it would be Economically defenseless and, of no further force or effect. The only thing that can destroy our Country are Crooked, Radical Left Judges, of which there are many!",3,0.834240058
27,53:56.6,"Big case today in the United States Supreme Court. Birthright Citizenship was not meant for people taking vacations to become permanent Citizens of the United States of America, and bringing their families with them, all the time laughing at the ""SUCKERS""that we are! The United States of America is the only Country in the World that does this, for what reason, nobody knows  But the drug cartels love it! We are, for the sake of being politically correct, a STUPID Country but, in actuality, this is the exact opposite of being politically correct, and it is yet another point that leads to the dysfunction of America. Birthright Citizenship is about the babies of slaves. As conclusive proof, the Civil War ended in 1865, the Bill went to Congress less than a year later, in 1866, and was passed shortly after that. It had nothing to do with Illegal Immigration for people wanting to SCAM our Country, from all parts of the World, which they have done for many years. It had to do with Civil War results, and the babies of slaves who our politicians felt, correctly, needed protection. Please explain this to the Supreme Court of the United States. Again, remember, the Civil War ended in 1865, and the Bill goes to Congress in 1866  We didn't have people pouring into our Country from all over South America, and the rest of the World. It wasn't even a subject. What we had were the BABIES OF SLAVES. Thank you for your attention to this matter. Good luck with this very important case. GOD BLESS THE U.S.A.!","Big case today in the United States Supreme Court. Birthright Citizenship was not meant for people taking vacations to become permanent Citizens of the United States of America, and bringing their families with them, all the time laughing at the ""SUCKERS""that we are! The United States of America is the only Country in the World that does this, for what reason, nobody knows  But the drug cartels love it! We are, for the sake of being politically correct, a STUPID Country but, in actuality, this is the exact opposite of being politically correct, and it is yet another point that leads to the dysfunction of America. Birthright Citizenship is about the babies of slaves. As conclusive proof, the Civil War ended in 1865, the Bill went to Congress less than a year later, in 1866, and was passed shortly after that. It had nothing to do with Illegal Immigration for people wanting to SCAM our Country, from all parts of the World, which they have done for many years. It had to do with Civil War results, and the babies of slaves who our politicians felt, correctly, needed protection. Please explain this to the Supreme Court of the United States. Again, remember, the Civil War ended in 1865, and the Bill goes to Congress in 1866  We didn't have people pouring into our Country from all over South America, and the rest of the World. It wasn't even a subject. What we had were the BABIES OF SLAVES. Thank you for your attention to this matter. Good luck with this very important case. GOD BLESS THE U.S.A.!",3,0.997839372
28,26:56.7,MAKE AMERICA GREAT AGAIN!,MAKE AMERICA GREAT AGAIN!,3,0.915010252
29,40:16.1,"Many people have been asking what is going on with Harvard University and their largescale improprieties that we have been addressing, looking for a solution. We have been working closely with Harvard, and it is very possible that a Deal will be announced over the next week or so. They have acted extremely appropriately during these negotiations, and appear to be committed to doing what is right. If a Settlement is made on the basis that is currently being discussed, it will be ""mindbogglingly""HISTORIC, and very good for our Country. Thank you for your attention to this matter!","Many people have been asking what is going on with Harvard University and their largescale improprieties that we have been addressing, looking for a solution. We have been working closely with Harvard, and it is very possible that a Deal will be announced over the next week or so. They have acted extremely appropriately during these negotiations, and appear to be committed to doing what is right. If a Settlement is made on the basis that is currently being discussed, it will be ""mindbogglingly""HISTORIC, and very good for our Country. Thank you for your attention to this matter!",3,0.521867345
30,21:38.4,TARIFFS!,TARIFFS!,3,0.785535779
31,28:00.3,"I am pleased to report that I have raised, since the Great Presidential Election of 2024, in various forms and political entities, in excess of 1.5 Billion Dollars. MAKE AMERICA GREAT AGAIN!!! President DJT","I am pleased to report that I have raised, since the Great Presidential Election of 2024, in various forms and political entities, in excess of 1.5 Billion Dollars. MAKE AMERICA GREAT AGAIN!!! President DJT",4,0.63237783
32,28:52.1,"Another very big and successful week of WINS for Republicans in Florida, a State that I love, and WON BIG, in 2016, 2020, and 2024. The Republican Party of Florida's Voter Registration lead over Democrats is now over 1.25 Million â a New and Record Level of SUCCESS! Florida's largest County, Miami-Dade, has FLIPPED RED to a Republican Majority in Voter Registration, and Republicans lead in a total of 59 out of 67 Counties across the State. ""TRUMP""was the first Republican Presidential Candidate to win Miami-Dade since 1988. THANK YOU FLORIDA  MAKE AMERICA GREAT AGAIN!","Another very big and successful week of WINS for Republicans in Florida, a State that I love, and WON BIG, in 2016, 2020, and 2024. The Republican Party of Florida's Voter Registration lead over Democrats is now over 1.25 Million â a New and Record Level of SUCCESS! Florida's largest County, Miami-Dade, has FLIPPED RED to a Republican Majority in Voter Registration, and Republicans lead in a total of 59 out of 67 Counties across the State. ""TRUMP""was the first Republican Presidential Candidate to win Miami-Dade since 1988. THANK YOU FLORIDA  MAKE AMERICA GREAT AGAIN!",4,0.842695444
33,08:02.5,From Elon…,From Elon…,4,0.785535779
34,57:06.8,"We are, together, going to make America bigger, better, stronger, wealthier, healthier, and more religious, than it has ever been before!!! DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA!!!","We are, together, going to make America bigger, better, stronger, wealthier, healthier, and more religious, than it has ever been before!!! DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA!!!",4,0.983737067
35,43:30.4,"Secretary of Defense, Pete Hegseth: “We're doing a complete review of every single aspect of what happened with the botched withdrawal of Afghanistan and plan to have full accountability.""","Secretary of Defense, Pete Hegseth: “We're doing a complete review of every single aspect of what happened with the botched withdrawal of Afghanistan and plan to have full accountability.""",4,0.414555077
36,07:07.0,"""BLOCKBUSTER SCANDAL""","""BLOCKBUSTER SCANDAL""",4,0.87826336
37,39:04.9,We have fulfilled so many of our promises... One Big Beautiful Bill Laken Riley Act TAKE IT DOWN Act Rescissions Act of 2025 HALT Fentanyl Act GENIUS Act,We have fulfilled so many of our promises... One Big Beautiful Bill Laken Riley Act TAKE IT DOWN Act Rescissions Act of 2025 HALT Fentanyl Act GENIUS Act,4,0.559151994
38,39:05.6,"Secretary of Energy, Chris Wright: ""President Trump has TRANSFORMED the American energy landscape. You're going to see a lot more of big, beautiful, clean coal!""","Secretary of Energy, Chris Wright: ""President Trump has TRANSFORMED the American energy landscape. You're going to see a lot more of big, beautiful, clean coal!""",4,0.463458004
39,58:13.4,"After many years Australia has agreed to accept American Beef! For a long time, and even though we are great friends, they actually banned our Beef. Now, we are going to sell so much to Australia because this is undeniable and irrefutable Proof that U.S. Beef is the Safest and Best in the entire World. The other Countries that refuse our magnificent Beef are ON NOTICE. All of our Nation's Ranchers, who are some of the hardest working and most wonderful people, are smiling today, which means I am smiling too. Let's keep the Hot Streak going. IT'S THE GOLDEN AGE OF AMERICA!","After many years Australia has agreed to accept American Beef! For a long time, and even though we are great friends, they actually banned our Beef. Now, we are going to sell so much to Australia because this is undeniable and irrefutable Proof that U.S. Beef is the Safest and Best in the entire World. The other Countries that refuse our magnificent Beef are ON NOTICE. All of our Nation's Ranchers, who are some of the hardest working and most wonderful people, are smiling today, which means I am smiling too. Let's keep the Hot Streak going. IT'S THE GOLDEN AGE OF AMERICA!",4,0.635617863
40,08:29.0,ð¦ðªðºð¸,ð¦ðªðºð¸,4,0.785535779
